institute,date,party,votes
allensbach,2001-02-14,Linke.PDS,NA
allensbach,2001-02-14,LINKE,NA
allensbach,2001-02-14,PIRATEN,NA
allensbach,2001-02-14,AfD,NA
allensbach,2001-01-24,CDU/CSU,0.331
allensbach,2001-01-24,SPD,0.391
allensbach,2001-01-24,GRÜNE,0.073
allensbach,2001-01-24,FDP,0.097
allensbach,2001-01-24,PDS,0.063
allensbach,2001-01-24,REP,0.011
allensbach,2001-01-24,Sonstige,0.034
allensbach,2001-01-24,Linke.PDS,NA
allensbach,2001-01-24,LINKE,NA
allensbach,2001-01-24,PIRATEN,NA
allensbach,2001-01-24,AfD,NA
allensbach,2000-12-20,CDU/CSU,0.352
allensbach,2000-12-20,SPD,0.381
allensbach,2000-12-20,GRÜNE,0.074
allensbach,2000-12-20,FDP,0.096
allensbach,2000-12-20,PDS,0.06
allensbach,2000-12-20,REP,0.011
allensbach,2000-12-20,Sonstige,0.026
allensbach,2000-12-20,Linke.PDS,NA
allensbach,2000-12-20,LINKE,NA
allensbach,2000-12-20,PIRATEN,NA
allensbach,2000-12-20,AfD,NA
allensbach,2000-11-15,CDU/CSU,0.338
allensbach,2000-11-15,SPD,0.378
allensbach,2000-11-15,GRÜNE,0.074
allensbach,2000-11-15,FDP,0.096
allensbach,2000-11-15,PDS,0.061
allensbach,2000-11-15,REP,0.019
allensbach,2000-11-15,Sonstige,0.034
allensbach,2000-11-15,Linke.PDS,NA
allensbach,2000-11-15,LINKE,NA
allensbach,2000-11-15,PIRATEN,NA
allensbach,2000-11-15,AfD,NA
allensbach,2000-10-18,CDU/CSU,0.34
allensbach,2000-10-18,SPD,0.38
allensbach,2000-10-18,GRÜNE,0.069
allensbach,2000-10-18,FDP,0.095
allensbach,2000-10-18,PDS,0.06
allensbach,2000-10-18,REP,0.02
allensbach,2000-10-18,Sonstige,0.036
allensbach,2000-10-18,Linke.PDS,NA
allensbach,2000-10-18,LINKE,NA
allensbach,2000-10-18,PIRATEN,NA
allensbach,2000-10-18,AfD,NA
allensbach,2000-09-27,CDU/CSU,0.331
allensbach,2000-09-27,SPD,0.39
allensbach,2000-09-27,GRÜNE,0.074
allensbach,2000-09-27,FDP,0.098
allensbach,2000-09-27,PDS,0.062
allensbach,2000-09-27,REP,0.016
allensbach,2000-09-27,Sonstige,0.029
allensbach,2000-09-27,Linke.PDS,NA
allensbach,2000-09-27,LINKE,NA
allensbach,2000-09-27,PIRATEN,NA
allensbach,2000-09-27,AfD,NA
allensbach,2000-08-16,CDU/CSU,0.324
allensbach,2000-08-16,SPD,0.39
allensbach,2000-08-16,GRÜNE,0.069
allensbach,2000-08-16,FDP,0.101
allensbach,2000-08-16,PDS,0.063
allensbach,2000-08-16,REP,0.028
allensbach,2000-08-16,Sonstige,0.025
allensbach,2000-08-16,Linke.PDS,NA
allensbach,2000-08-16,LINKE,NA
allensbach,2000-08-16,PIRATEN,NA
allensbach,2000-08-16,AfD,NA
allensbach,2000-07-19,CDU/CSU,0.323
allensbach,2000-07-19,SPD,0.371
allensbach,2000-07-19,GRÜNE,0.071
allensbach,2000-07-19,FDP,0.115
allensbach,2000-07-19,PDS,0.068
allensbach,2000-07-19,REP,0.022
allensbach,2000-07-19,Sonstige,0.03
allensbach,2000-07-19,Linke.PDS,NA
allensbach,2000-07-19,LINKE,NA
allensbach,2000-07-19,PIRATEN,NA
allensbach,2000-07-19,AfD,NA
allensbach,2000-06-14,CDU/CSU,0.33
allensbach,2000-06-14,SPD,0.359
allensbach,2000-06-14,GRÜNE,0.079
allensbach,2000-06-14,FDP,0.111
allensbach,2000-06-14,PDS,0.065
allensbach,2000-06-14,REP,0.038
allensbach,2000-06-14,Sonstige,0.018
allensbach,2000-06-14,Linke.PDS,NA
allensbach,2000-06-14,LINKE,NA
allensbach,2000-06-14,PIRATEN,NA
allensbach,2000-06-14,AfD,NA
allensbach,2000-04-19,CDU/CSU,0.32
allensbach,2000-04-19,SPD,0.386
allensbach,2000-04-19,GRÜNE,0.084
allensbach,2000-04-19,FDP,0.084
allensbach,2000-04-19,PDS,0.071
allensbach,2000-04-19,REP,0.034
allensbach,2000-04-19,Sonstige,0.021
allensbach,2000-04-19,Linke.PDS,NA
allensbach,2000-04-19,LINKE,NA
allensbach,2000-04-19,PIRATEN,NA
allensbach,2000-04-19,AfD,NA
allensbach,2000-03-22,CDU/CSU,0.313
allensbach,2000-03-22,SPD,0.398
allensbach,2000-03-22,GRÜNE,0.085
allensbach,2000-03-22,FDP,0.079
allensbach,2000-03-22,PDS,0.071
allensbach,2000-03-22,REP,0.031
allensbach,2000-03-22,Sonstige,0.023
allensbach,2000-03-22,Linke.PDS,NA
allensbach,2000-03-22,LINKE,NA
allensbach,2000-03-22,PIRATEN,NA
allensbach,2000-03-22,AfD,NA
allensbach,2000-02-23,CDU/CSU,0.313
allensbach,2000-02-23,SPD,0.403
allensbach,2000-02-23,GRÜNE,0.08
allensbach,2000-02-23,FDP,0.077
allensbach,2000-02-23,PDS,0.067
allensbach,2000-02-23,REP,0.025
allensbach,2000-02-23,Sonstige,0.035
allensbach,2000-02-23,Linke.PDS,NA
allensbach,2000-02-23,LINKE,NA
allensbach,2000-02-23,PIRATEN,NA
allensbach,2000-02-23,AfD,NA
allensbach,2000-01-19,CDU/CSU,0.378
allensbach,2000-01-19,SPD,0.369
allensbach,2000-01-19,GRÜNE,0.075
allensbach,2000-01-19,FDP,0.063
allensbach,2000-01-19,PDS,0.065
allensbach,2000-01-19,REP,0.017
allensbach,2000-01-19,Sonstige,0.033
allensbach,2000-01-19,Linke.PDS,NA
allensbach,2000-01-19,LINKE,NA
allensbach,2000-01-19,PIRATEN,NA
allensbach,2000-01-19,AfD,NA
allensbach,1999-12-15,CDU/CSU,0.416
allensbach,1999-12-15,SPD,0.323
allensbach,1999-12-15,GRÜNE,0.075
allensbach,1999-12-15,FDP,0.064
allensbach,1999-12-15,PDS,0.071
allensbach,1999-12-15,REP,0.034
allensbach,1999-12-15,Sonstige,0.017
allensbach,1999-12-15,Linke.PDS,NA
allensbach,1999-12-15,LINKE,NA
allensbach,1999-12-15,PIRATEN,NA
allensbach,1999-12-15,AfD,NA
allensbach,1999-11-17,CDU/CSU,0.447
allensbach,1999-11-17,SPD,0.304
allensbach,1999-11-17,GRÜNE,0.069
allensbach,1999-11-17,FDP,0.069
allensbach,1999-11-17,PDS,0.068
allensbach,1999-11-17,REP,0.016
allensbach,1999-11-17,Sonstige,0.027
allensbach,1999-11-17,Linke.PDS,NA
allensbach,1999-11-17,LINKE,NA
allensbach,1999-11-17,PIRATEN,NA
allensbach,1999-11-17,AfD,NA
allensbach,1999-10-13,CDU/CSU,0.445
allensbach,1999-10-13,SPD,0.308
allensbach,1999-10-13,GRÜNE,0.068
allensbach,1999-10-13,FDP,0.059
allensbach,1999-10-13,PDS,0.072
allensbach,1999-10-13,REP,0.023
allensbach,1999-10-13,Sonstige,0.025
allensbach,1999-10-13,Linke.PDS,NA
allensbach,1999-10-13,LINKE,NA
allensbach,1999-10-13,PIRATEN,NA
allensbach,1999-10-13,AfD,NA
allensbach,1999-09-15,CDU/CSU,0.42
allensbach,1999-09-15,SPD,0.329
allensbach,1999-09-15,GRÜNE,0.072
allensbach,1999-09-15,FDP,0.066
allensbach,1999-09-15,PDS,0.07
allensbach,1999-09-15,REP,0.026
allensbach,1999-09-15,Sonstige,0.017
allensbach,1999-09-15,Linke.PDS,NA
allensbach,1999-09-15,LINKE,NA
allensbach,1999-09-15,PIRATEN,NA
allensbach,1999-09-15,AfD,NA
allensbach,1999-08-18,CDU/CSU,0.422
allensbach,1999-08-18,SPD,0.326
allensbach,1999-08-18,GRÜNE,0.074
allensbach,1999-08-18,FDP,0.066
allensbach,1999-08-18,PDS,0.06
allensbach,1999-08-18,REP,0.031
allensbach,1999-08-18,Sonstige,0.021
allensbach,1999-08-18,Linke.PDS,NA
allensbach,1999-08-18,LINKE,NA
allensbach,1999-08-18,PIRATEN,NA
allensbach,1999-08-18,AfD,NA
allensbach,1999-07-21,CDU/CSU,0.433
allensbach,1999-07-21,SPD,0.326
allensbach,1999-07-21,GRÜNE,0.067
allensbach,1999-07-21,FDP,0.07
allensbach,1999-07-21,PDS,0.059
allensbach,1999-07-21,REP,0.025
allensbach,1999-07-21,Sonstige,0.02
allensbach,1999-07-21,Linke.PDS,NA
allensbach,1999-07-21,LINKE,NA
allensbach,1999-07-21,PIRATEN,NA
allensbach,1999-07-21,AfD,NA
allensbach,1999-06-16,CDU/CSU,0.397
allensbach,1999-06-16,SPD,0.356
allensbach,1999-06-16,GRÜNE,0.066
allensbach,1999-06-16,FDP,0.077
allensbach,1999-06-16,PDS,0.058
allensbach,1999-06-16,REP,0.019
allensbach,1999-06-16,Sonstige,0.027
allensbach,1999-06-16,Linke.PDS,NA
allensbach,1999-06-16,LINKE,NA
allensbach,1999-06-16,PIRATEN,NA
allensbach,1999-06-16,AfD,NA
allensbach,1999-05-19,CDU/CSU,0.368
allensbach,1999-05-19,SPD,0.373
allensbach,1999-05-19,GRÜNE,0.078
allensbach,1999-05-19,FDP,0.07
allensbach,1999-05-19,PDS,0.059
allensbach,1999-05-19,REP,0.034
allensbach,1999-05-19,Sonstige,0.018
allensbach,1999-05-19,Linke.PDS,NA
allensbach,1999-05-19,LINKE,NA
allensbach,1999-05-19,PIRATEN,NA
allensbach,1999-05-19,AfD,NA
allensbach,1999-04-14,CDU/CSU,0.379
allensbach,1999-04-14,SPD,0.376
allensbach,1999-04-14,GRÜNE,0.065
allensbach,1999-04-14,FDP,0.075
allensbach,1999-04-14,PDS,0.055
allensbach,1999-04-14,REP,0.023
allensbach,1999-04-14,Sonstige,0.027
allensbach,1999-04-14,Linke.PDS,NA
allensbach,1999-04-14,LINKE,NA
allensbach,1999-04-14,PIRATEN,NA
allensbach,1999-04-14,AfD,NA
allensbach,1999-03-17,CDU/CSU,0.387
allensbach,1999-03-17,SPD,0.37
allensbach,1999-03-17,GRÜNE,0.068
allensbach,1999-03-17,FDP,0.074
allensbach,1999-03-17,PDS,0.057
allensbach,1999-03-17,REP,0.017
allensbach,1999-03-17,Sonstige,0.027
allensbach,1999-03-17,Linke.PDS,NA
allensbach,1999-03-17,LINKE,NA
allensbach,1999-03-17,PIRATEN,NA
allensbach,1999-03-17,AfD,NA
allensbach,1998-12-16,CDU/CSU,0.363
allensbach,1998-12-16,SPD,0.394
allensbach,1998-12-16,GRÜNE,0.072
allensbach,1998-12-16,FDP,0.06
allensbach,1998-12-16,PDS,NA
allensbach,1998-12-16,REP,NA
allensbach,1998-12-16,Sonstige,NA
allensbach,1998-12-16,Linke.PDS,NA
allensbach,1998-12-16,LINKE,NA
allensbach,1998-12-16,PIRATEN,NA
allensbach,1998-12-16,AfD,NA
allensbach,1998-09-27,CDU/CSU,0.351
allensbach,1998-09-27,SPD,0.409
allensbach,1998-09-27,GRÜNE,0.067
allensbach,1998-09-27,FDP,0.062
allensbach,1998-09-27,PDS,0.051
allensbach,1998-09-27,REP,0.018
allensbach,1998-09-27,Sonstige,0.04
allensbach,1998-09-27,Linke.PDS,NA
allensbach,1998-09-27,LINKE,NA
allensbach,1998-09-27,PIRATEN,NA
allensbach,1998-09-27,AfD,NA
allensbach,1998-09-26,CDU/CSU,0.36
allensbach,1998-09-26,SPD,0.405
allensbach,1998-09-26,GRÜNE,0.06
allensbach,1998-09-26,FDP,0.065
allensbach,1998-09-26,PDS,0.05
allensbach,1998-09-26,REP,NA
allensbach,1998-09-26,Sonstige,0.06
allensbach,1998-09-26,Linke.PDS,NA
allensbach,1998-09-26,LINKE,NA
allensbach,1998-09-26,PIRATEN,NA
allensbach,1998-09-26,AfD,NA
allensbach,1998-09-23,CDU/CSU,0.361
allensbach,1998-09-23,SPD,0.411
allensbach,1998-09-23,GRÜNE,0.07
allensbach,1998-09-23,FDP,0.065
allensbach,1998-09-23,PDS,0.047
allensbach,1998-09-23,REP,NA
allensbach,1998-09-23,Sonstige,0.046
allensbach,1998-09-23,Linke.PDS,NA
allensbach,1998-09-23,LINKE,NA
allensbach,1998-09-23,PIRATEN,NA
allensbach,1998-09-23,AfD,NA
allensbach,1998-09-16,CDU/CSU,0.355
allensbach,1998-09-16,SPD,0.414
allensbach,1998-09-16,GRÜNE,0.07
allensbach,1998-09-16,FDP,0.066
allensbach,1998-09-16,PDS,0.05
allensbach,1998-09-16,REP,NA
allensbach,1998-09-16,Sonstige,0.045
allensbach,1998-09-16,Linke.PDS,NA
allensbach,1998-09-16,LINKE,NA
allensbach,1998-09-16,PIRATEN,NA
allensbach,1998-09-16,AfD,NA
allensbach,1998-09-09,CDU/CSU,0.356
allensbach,1998-09-09,SPD,0.408
allensbach,1998-09-09,GRÜNE,0.075
allensbach,1998-09-09,FDP,0.072
allensbach,1998-09-09,PDS,0.045
allensbach,1998-09-09,REP,0.021
allensbach,1998-09-09,Sonstige,0.023
allensbach,1998-09-09,Linke.PDS,NA
allensbach,1998-09-09,LINKE,NA
allensbach,1998-09-09,PIRATEN,NA
allensbach,1998-09-09,AfD,NA
allensbach,1998-09-02,CDU/CSU,0.355
allensbach,1998-09-02,SPD,0.411
allensbach,1998-09-02,GRÜNE,0.07
allensbach,1998-09-02,FDP,0.061
allensbach,1998-09-02,PDS,0.049
allensbach,1998-09-02,REP,0.024
allensbach,1998-09-02,Sonstige,0.03
allensbach,1998-09-02,Linke.PDS,NA
allensbach,1998-09-02,LINKE,NA
allensbach,1998-09-02,PIRATEN,NA
allensbach,1998-09-02,AfD,NA
allensbach,1998-08-26,CDU/CSU,0.352
allensbach,1998-08-26,SPD,0.427
allensbach,1998-08-26,GRÜNE,0.063
allensbach,1998-08-26,FDP,0.06
allensbach,1998-08-26,PDS,0.053
allensbach,1998-08-26,REP,0.012
allensbach,1998-08-26,Sonstige,0.033
allensbach,1998-08-26,Linke.PDS,NA
allensbach,1998-08-26,LINKE,NA
allensbach,1998-08-26,PIRATEN,NA
allensbach,1998-08-26,AfD,NA
allensbach,1998-08-19,CDU/CSU,0.345
allensbach,1998-08-19,SPD,0.429
allensbach,1998-08-19,GRÜNE,0.07
allensbach,1998-08-19,FDP,0.058
allensbach,1998-08-19,PDS,0.052
allensbach,1998-08-19,REP,0.02
allensbach,1998-08-19,Sonstige,0.026
allensbach,1998-08-19,Linke.PDS,NA
allensbach,1998-08-19,LINKE,NA
allensbach,1998-08-19,PIRATEN,NA
allensbach,1998-08-19,AfD,NA
allensbach,1998-08-12,CDU/CSU,0.33
allensbach,1998-08-12,SPD,0.438
allensbach,1998-08-12,GRÜNE,0.07
allensbach,1998-08-12,FDP,0.066
allensbach,1998-08-12,PDS,0.052
allensbach,1998-08-12,REP,0.016
allensbach,1998-08-12,Sonstige,0.028
allensbach,1998-08-12,Linke.PDS,NA
allensbach,1998-08-12,LINKE,NA
allensbach,1998-08-12,PIRATEN,NA
allensbach,1998-08-12,AfD,NA
allensbach,1998-06-17,CDU/CSU,0.311
allensbach,1998-06-17,SPD,0.444
allensbach,1998-06-17,GRÜNE,0.076
allensbach,1998-06-17,FDP,0.069
allensbach,1998-06-17,PDS,0.057
allensbach,1998-06-17,REP,0.023
allensbach,1998-06-17,Sonstige,0.02
allensbach,1998-06-17,Linke.PDS,NA
allensbach,1998-06-17,LINKE,NA
allensbach,1998-06-17,PIRATEN,NA
allensbach,1998-06-17,AfD,NA
allensbach,1998-05-20,CDU/CSU,0.31
allensbach,1998-05-20,SPD,0.455
allensbach,1998-05-20,GRÜNE,0.075
